snapped_at,market_cap,total_volume
1587340800000,205881561518.36667,67809255069.85454
1587427200000,198048036852.02246,81301561908.44366
1587513600000,197675941644.76535,62635302891.24254
1587600000000,207035020472.24966,67873680866.47243
1587686400000,215475851561.33704,82897745892.0513
1587772800000,216827724951.82587,68071739086.099174
1587859200000,219067451924.62717,67608925583.45033
1587945600000,223179447682.75684,71132585024.91785
1588204800000,264213264880.04422,131470347250.92331
1588291200000,243809258353.7286,123857486493.63786
1588377600000,249798615148.3239,85334995867.7374
1588464000000,253986193584.68045,74576071391.53008
1588550400000,250864691316.0856,85924237642.54622
1588636800000,249744258316.8562,88429817995.0832
1588723200000,252094549143.06787,80856544456.04858
1588809600000,254679607600.64893,88938201264.25168
1588896000000,273523703972.18845,105042891725.91846
1588982400000,271982758846.99225,92020738806.53052
1589068800000,242586701934.74167,93500401969.11382
1589155200000,243078805028.0174,118776470706.04424
1589241600000,239129498739.93723,101522264509.06715
1589328000000,244112994618.77676,74876389092.42012
1589414400000,256048785022.33362,78403971737.217
1589500800000,264897223520.5705,86305976453.47458
1589587200000,257102358974.1654,77834372782.27434
1589673600000,260414692627.37418,66354731142.77422
1589760000000,264474253827.07657,70754646292.05124
1589846400000,265282029657.3789,75380377424.56287
1589932800000,268852542754.1611,70816126282.11682
1590019200000,263420965015.62524,67935791985.03623
1590105600000,251605603235.16687,71122939751.07008
1590192000000,256096396143.6365,61423502998.41432
1590278400000,256104437887.36075,52840818851.74959
1590364800000,246165084451.64465,58206732976.19534
1590451200000,249465224017.59314,55496852061.63871
1590537600000,250097714893.6967,52329626294.707146
1590624000000,257162540220.5174,54489118357.45921
1590710400000,266653544809.2371,58934359552.27638
1590796800000,263120007134.2237,53948445562.90417
1590883200000,273887007835.6719,62783757917.71886
1590969600000,267547225555.0713,57222129731.95937
1591056000000,286307051373.03955,65093184369.90611
1591142400000,270829778322.8926,74614752231.21799
1591228800000,275266863182.54645,54139063359.23493
1591315200000,277986861808.27136,54490925086.35662
1591401600000,274082820081.9731,51927363502.37924
1591488000000,276090840455.4818,41381548022.55974
1591574400000,277865329440.39874,51473090359.63538
1591660800000,276846280448.9195,47903881550.64348
1591747200000,278857534525.9802,43836957591.57655
1591833600000,282018465431.28357,50147209234.148544
1591920000000,264702479354.45694,60876793157.70019
1592006400000,269685210741.69308,46130550130.55934
1592092800000,270540449224.883,38477297142.39977
1592179200000,266290700668.2169,37922184963.80567
1592265600000,266681761038.27216,54020400057.97634
1592352000000,270711637560.29855,47193360832.27068
1592438400000,269428299669.18228,42319260888.70108
1592524800000,268384681976.56653,39174395240.47672
1592611200000,266586324308.63605,42744503214.88728
1592697600000,268055184765.94452,37829340015.69829
1592784000000,266806102820.93268,35429553070.87312
1592870400000,277400516993.2079,58403831100.05681
1592956800000,276883672005.52313,35653801398.23321
1593043200000,267455911422.27176,43759045938.48435
1593129600000,268238722348.86362,40193294714.18248
1593216000000,264282565079.06024,40501623821.725006
1593302400000,257374463647.8932,38607687627.86571
1593388800000,262295171053.72336,35632948987.17139
1593475200000,264611287801.5943,37501566154.65313
1593561600000,263068087017.73322,34965379364.18067
1593648000000,266419977131.57922,36026211551.05266
1593734400000,263137840170.7172,37754393529.70625
1593820800000,262929032911.45853,32981134008.65438
1593907200000,265813702857.8621,32400791862.8312
1593993600000,264244821816.9815,32912978502.325066
1594080000000,274930756424.8696,46975315508.74215
1594166400000,273380492520.10403,38360895142.836655
1594252800000,281365113257.04767,46191900372.81216
1594339200000,275465628776.99194,40177072231.21853
